danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.631,0.512,5,-9.219,0,0.0578,0.0769,1.81e-06,0.128,0.385,116.074,audio_features,3OBBX1d1F1ygSZZOxLIkU8,spotify:track:3OBBX1d1F1ygSZZOxLIkU8,https://api.spotify.com/v1/tracks/3OBBX1d1F1ygSZZOxLIkU8,https://api.spotify.com/v1/audio-analysis/3OBBX1d1F1ygSZZOxLIkU8,173819,4
0.64,0.636,4,-6.191,0,0.0306,0.748,0.000543,0.109,0.178,111.973,audio_features,0VVXv2n41haopYdO3XE6qO,spotify:track:0VVXv2n41haopYdO3XE6qO,https://api.spotify.com/v1/tracks/0VVXv2n41haopYdO3XE6qO,https://api.spotify.com/v1/audio-analysis/0VVXv2n41haopYdO3XE6qO,407557,4
0.332,0.579,9,-5.483,1,0.0367,0.186,1.12e-06,0.0603,0.242,89.905,audio_features,7yJCsC3OX6FoF6Ig2MOPql,spotify:track:7yJCsC3OX6FoF6Ig2MOPql,https://api.spotify.com/v1/tracks/7yJCsC3OX6FoF6Ig2MOPql,https://api.spotify.com/v1/audio-analysis/7yJCsC3OX6FoF6Ig2MOPql,394880,4
0.499,0.324,0,-7.944,1,0.0641,0.0799,0,0.352,0.397,119.266,audio_features,2mMQFumTaHcwMZsiNE57Um,spotify:track:2mMQFumTaHcwMZsiNE57Um,https://api.spotify.com/v1/tracks/2mMQFumTaHcwMZsiNE57Um,https://api.spotify.com/v1/audio-analysis/2mMQFumTaHcwMZsiNE57Um,116667,4
0.502,0.566,7,-8.728,1,0.0307,0.29,0.0357,0.106,0.256,75.03,audio_features,3gAex0HrVg17v5z6gGiwUQ,spotify:track:3gAex0HrVg17v5z6gGiwUQ,https://api.spotify.com/v1/tracks/3gAex0HrVg17v5z6gGiwUQ,https://api.spotify.com/v1/audio-analysis/3gAex0HrVg17v5z6gGiwUQ,261671,3
0.521,0.938,8,-7.996,0,0.326,0.179,0,0.408,0.714,83.767,audio_features,4ktTv8OPQDbahR4opPanNq,spotify:track:4ktTv8OPQDbahR4opPanNq,https://api.spotify.com/v1/tracks/4ktTv8OPQDbahR4opPanNq,https://api.spotify.com/v1/audio-analysis/4ktTv8OPQDbahR4opPanNq,287733,4
0.596,0.405,4,-14.755,0,0.0377,0.26,0.92,0.103,0.428,130.038,audio_features,0ccPjpRKyE8AKeQH6NW1b8,spotify:track:0ccPjpRKyE8AKeQH6NW1b8,https://api.spotify.com/v1/tracks/0ccPjpRKyE8AKeQH6NW1b8,https://api.spotify.com/v1/audio-analysis/0ccPjpRKyE8AKeQH6NW1b8,205218,4
0.447,0.484,9,-12.089,0,0.0282,0.0278,0.0571,0.122,0.366,144.088,audio_features,4ADVvLpPvc1fiWCmjcfadX,spotify:track:4ADVvLpPvc1fiWCmjcfadX,https://api.spotify.com/v1/tracks/4ADVvLpPvc1fiWCmjcfadX,https://api.spotify.com/v1/audio-analysis/4ADVvLpPvc1fiWCmjcfadX,321549,3
0.735,0.535,4,-5.75,0,0.0566,0.376,0,0.0906,0.837,142.072,audio_features,33jN7fsAMWaoYL2yp7mSCz,spotify:track:33jN7fsAMWaoYL2yp7mSCz,https://api.spotify.com/v1/tracks/33jN7fsAMWaoYL2yp7mSCz,https://api.spotify.com/v1/audio-analysis/33jN7fsAMWaoYL2yp7mSCz,209107,4
0.622,0.621,11,-4.924,0,0.129,0.0864,9.8e-05,0.121,0.567,158.946,audio_features,73F87Sqh6jQWucOOvz1WFx,spotify:track:73F87Sqh6jQWucOOvz1WFx,https://api.spotify.com/v1/tracks/73F87Sqh6jQWucOOvz1WFx,https://api.spotify.com/v1/audio-analysis/73F87Sqh6jQWucOOvz1WFx,213040,4
0.568,0.401,7,-6.341,1,0.0297,0.382,0,0.262,0.296,95.796,audio_features,5lK18Pt33xNudq4qYDxIm8,spotify:track:5lK18Pt33xNudq4qYDxIm8,https://api.spotify.com/v1/tracks/5lK18Pt33xNudq4qYDxIm8,https://api.spotify.com/v1/audio-analysis/5lK18Pt33xNudq4qYDxIm8,215733,4
0.813,0.468,6,-10.579,0,0.0296,0.483,0.00016,0.107,0.743,119.978,audio_features,5lkLK46hfSD1fPHp1ZOrpz,spotify:track:5lkLK46hfSD1fPHp1ZOrpz,https://api.spotify.com/v1/tracks/5lkLK46hfSD1fPHp1ZOrpz,https://api.spotify.com/v1/audio-analysis/5lkLK46hfSD1fPHp1ZOrpz,267819,4
0.811,0.228,6,-19.77,0,0.106,0.575,0.612,0.0514,0.878,140.009,audio_features,1h3PFlKUd0TUyOabb1dRXv,spotify:track:1h3PFlKUd0TUyOabb1dRXv,https://api.spotify.com/v1/tracks/1h3PFlKUd0TUyOabb1dRXv,https://api.spotify.com/v1/audio-analysis/1h3PFlKUd0TUyOabb1dRXv,288914,4
0.547,0.523,9,-9.176,1,0.0572,0.724,0,0.103,0.89,169.598,audio_features,0xK34uEDBKa9ZzJ6kelLJE,spotify:track:0xK34uEDBKa9ZzJ6kelLJE,https://api.spotify.com/v1/tracks/0xK34uEDBKa9ZzJ6kelLJE,https://api.spotify.com/v1/audio-analysis/0xK34uEDBKa9ZzJ6kelLJE,142907,4
0.66,0.603,2,-7.228,0,0.103,0.264,7.62e-06,0.0882,0.534,163.991,audio_features,4XVif6rh9oYMIjazZ5F65A,spotify:track:4XVif6rh9oYMIjazZ5F65A,https://api.spotify.com/v1/tracks/4XVif6rh9oYMIjazZ5F65A,https://api.spotify.com/v1/audio-analysis/4XVif6rh9oYMIjazZ5F65A,216611,4
0.406,0.866,4,-2.066,1,0.0765,0.199,0.00179,0.149,0.665,100.176,audio_features,0a2BkoBMHJupBvydLiNgTy,spotify:track:0a2BkoBMHJupBvydLiNgTy,https://api.spotify.com/v1/tracks/0a2BkoBMHJupBvydLiNgTy,https://api.spotify.com/v1/audio-analysis/0a2BkoBMHJupBvydLiNgTy,265973,4
0.825,0.835,7,-8.887,1,0.0983,0.116,0,0.0584,0.879,119.847,audio_features,4yjf57C9089LfrpagGDr2D,spotify:track:4yjf57C9089LfrpagGDr2D,https://api.spotify.com/v1/tracks/4yjf57C9089LfrpagGDr2D,https://api.spotify.com/v1/audio-analysis/4yjf57C9089LfrpagGDr2D,303427,4
0.616,0.553,8,-8.745,1,0.032,0.0431,0.924,0.113,0.0782,120.005,audio_features,6zeemXaeg9l8vBllGdNxnw,spotify:track:6zeemXaeg9l8vBllGdNxnw,https://api.spotify.com/v1/tracks/6zeemXaeg9l8vBllGdNxnw,https://api.spotify.com/v1/audio-analysis/6zeemXaeg9l8vBllGdNxnw,553958,4
0.255,0.00764,0,-33.843,1,0.0428,0.994,0.493,0.0887,0.0519,65.509,audio_features,2KbqhcX7Renk4H5E7sJOM1,spotify:track:2KbqhcX7Renk4H5E7sJOM1,https://api.spotify.com/v1/tracks/2KbqhcX7Renk4H5E7sJOM1,https://api.spotify.com/v1/audio-analysis/2KbqhcX7Renk4H5E7sJOM1,108370,4
0.211,0.28,8,-17.86,1,0.0469,0.373,0.872,0.175,0.039,161.826,audio_features,79mcqvpnIASmHcFUy72Z98,spotify:track:79mcqvpnIASmHcFUy72Z98,https://api.spotify.com/v1/tracks/79mcqvpnIASmHcFUy72Z98,https://api.spotify.com/v1/audio-analysis/79mcqvpnIASmHcFUy72Z98,67383,3
0.411,0.145,10,-22.413,0,0.0362,0.936,0.938,0.103,0.3,125.82,audio_features,6HCVhEi8hc1TTbVchy2zlb,spotify:track:6HCVhEi8hc1TTbVchy2zlb,https://api.spotify.com/v1/tracks/6HCVhEi8hc1TTbVchy2zlb,https://api.spotify.com/v1/audio-analysis/6HCVhEi8hc1TTbVchy2zlb,92604,4
0.682,0.693,0,-4.657,0,0.0282,0.257,0,0.23,0.791,125.008,audio_features,1yGMK0kzqSJUnVZ0hoJQSp,spotify:track:1yGMK0kzqSJUnVZ0hoJQSp,https://api.spotify.com/v1/tracks/1yGMK0kzqSJUnVZ0hoJQSp,https://api.spotify.com/v1/audio-analysis/1yGMK0kzqSJUnVZ0hoJQSp,220530,4
0.452,0.544,9,-5.029,0,0.0351,0.291,3.96e-05,0.103,0.191,134.367,audio_features,7f1qan3WDBl84X2CGDiQ2q,spotify:track:7f1qan3WDBl84X2CGDiQ2q,https://api.spotify.com/v1/tracks/7f1qan3WDBl84X2CGDiQ2q,https://api.spotify.com/v1/audio-analysis/7f1qan3WDBl84X2CGDiQ2q,231547,4
0.177,0.254,7,-9.949,0,0.0357,0.891,0.000239,0.162,0.342,77.17,audio_features,3nu5LbqDkOkZKkEyafpr5c,spotify:track:3nu5LbqDkOkZKkEyafpr5c,https://api.spotify.com/v1/tracks/3nu5LbqDkOkZKkEyafpr5c,https://api.spotify.com/v1/audio-analysis/3nu5LbqDkOkZKkEyafpr5c,177224,4
0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,audio_features,10vkYRKw6Jjr7try1ir50G,spotify:track:10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/tracks/10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/audio-analysis/10vkYRKw6Jjr7try1ir50G,172320,4
0.666,0.458,5,-11.353,1,0.0331,0.7,0.533,0.109,0.798,80.011,audio_features,6cIKaWSEiARZqbnBhrQJPO,spotify:track:6cIKaWSEiARZqbnBhrQJPO,https://api.spotify.com/v1/tracks/6cIKaWSEiARZqbnBhrQJPO,https://api.spotify.com/v1/audio-analysis/6cIKaWSEiARZqbnBhrQJPO,196500,4
